model_a,model_b,metric,mean_diff_a_minus_b,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm
GradientBoosting,SVR,rmse,-0.09376128523866313,-4.294512063569926,1.9355203929348884e-33,1.7763568394002505e-15,2.341979675451215e-31,2.717825964282383e-13
GradientBoosting,MLP,rmse,-0.06957600748738135,-1.6414707752468949,1.1398217551208483e-15,1.7763568394002505e-15,7.864770110333853e-14,2.717825964282383e-13
AdaBoost,RandomForest,rmse,0.019671014509964873,1.4937718276014162,3.171010948719683e-14,5.861977570020827e-14,2.0294470071805973e-12,3.6344260934129125e-12
AdaBoost,ExtraTrees,rmse,0.018532097281502704,1.4462203917469454,9.526449402497772e-14,1.9539925233402755e-13,6.001663123573596e-12,1.1528555887707626e-11
AdaBoost,Bagging,rmse,-0.007334794685919901,-0.41712743388827556,0.004867492144108517,0.003913313547160513,0.09734984288217034,0.07826627094321026
AdaBoost,DecisionTree,rmse,-0.11657004553749951,-4.749886090320259,1.732327952016713e-35,1.7763568394002505e-15,2.1654099400208914e-33,2.717825964282383e-13
AdaBoost,LinearRegression,rmse,0.0016135329566001743,0.18410435493146032,0.19906683268532044,0.2866420365460076,1.0,1.0
AdaBoost,Ridge,rmse,0.0016082575554361744,0.18380734349190392,0.1997803452728228,0.27798803015155293,1.0,1.0
AdaBoost,Lasso,rmse,0.002170177721161277,0.26370377180969223,0.06822324412901505,0.11171837302823029,1.0,1.0
AdaBoost,ElasticNet,rmse,0.0021298526837550823,0.25550765955148586,0.07694977417990599,0.14333259515310637,1.0,1.0
AdaBoost,HuberRegressor,rmse,0.0016092700991384046,0.18367026311571438,0.20011030307268604,0.2866420365460076,1.0,1.0
AdaBoost,KNN,rmse,-0.4102518947716135,-11.907673914386969,1.1279646036340392e-54,1.7763568394002505e-15,1.6355486752693568e-52,2.717825964282383e-13
AdaBoost,SVR,rmse,-0.06194813102747356,-2.8890591629376257,1.271990151946632e-25,1.7763568394002505e-15,1.2719901519466319e-23,2.717825964282383e-13
AdaBoost,MLP,rmse,-0.03776285327619178,-0.9378474447045049,2.4698126657145344e-08,4.9116266609416925e-12,8.397363063429417e-07,2.013766930986094e-10
RandomForest,ExtraTrees,rmse,-0.0011389172284621684,-0.17190118778695956,0.22999006678806097,0.2260100302518655,1.0,1.0
RandomForest,Bagging,rmse,-0.027005809195884772,-2.996733378490907,2.5318525021423294e-26,1.7763568394002505e-15,2.6331266022280227e-24,2.717825964282383e-13
RandomForest,DecisionTree,rmse,-0.13624106004746436,-6.984497792573093,1.8601929099024714e-43,1.7763568394002505e-15,2.474056570170287e-41,2.717825964282383e-13
RandomForest,LinearRegression,rmse,-0.018057481553364698,-1.3145767773760157,2.148686044546801e-12,1.3535839116229909e-12,9.669087200460604e-11,6.226485993465758e-11
RandomForest,Ridge,rmse,-0.0180627569545287,-1.319304736803825,1.9179065817495215e-12,1.3535839116229909e-12,9.014160934222751e-11,6.226485993465758e-11
RandomForest,Lasso,rmse,-0.017500836788803594,-1.3361513973940977,1.2806591096647007e-12,5.453415496958769e-13,6.600205744252767e-11,2.7267077484793845e-11
RandomForest,ElasticNet,rmse,-0.01754116182620979,-1.3482580149195789,9.58988102112792e-13,3.0020430585864233e-13,5.274434561620356e-11,1.5910828210508043e-11
RandomForest,HuberRegressor,rmse,-0.018061744410826468,-1.3160127898169227,2.075772544768698e-12,1.3535839116229909e-12,9.548553705936011e-11,6.226485993465758e-11
RandomForest,KNN,rmse,-0.42992290928157834,-13.532666158228732,2.219250797055282e-57,1.7763568394002505e-15,3.328876195582923e-55,2.717825964282383e-13
